Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg
2009,39.5,47.9,55.1,62,71.6,81.3,79.3,79.9,75.7,60.7,55.1,40.9,62.4
2010,37.1,37.4,52.6,66,74.2,84.6,84.9,86.6,79.2,66.1,53.9,40.3,63.6
2011,38.9,47.1,54.2,65.8,70.2,83.7,86,83.9,73.3,62.7,55.9,46.7,64
2012,47.7,48.9,64.8,66,76.3,80.2,85.3,82.7,75.3,61.4,51.7,49.8,65.8
2013,44.9,45.3,48.6,61.1,69.6,79.7,80.5,81.1,78.4,64.6,49,42.9,62.1
2014,36.1,41.1,49.5,62,71.4,79.3,78,82.5,76.2,65.6,47.6,46.2,61.3
2015,40.9,36.1,52.7,65.2,72.9,80.7,84.5,80.7,77.5,66.3,57.6,54.1,64.1
2016,41.2,48.1,58.5,64.9,70.5,83.2,84.9,84.6,80.5,70.7,57.4,44.7,65.8
2017,49.2,54.8,57,66.6,70.7,78.4,83.2,79.3,75.4,65.2,55,43.4,64.9
2018,37.3,49.7,54.1,56.4,77.4,81.9,83,81.3,77.8,65.3,47.9,45.7,63.1
2019,41.9,48.9,50.6,62.7,73.8,77.7,81.3,82.2,83.5,64,48,47.8,63.5
2020,46.7,45.7,58.5,60.4,69.4,78.9,84.1,80.7,74.5,62.7,56.3,44.2,63.5
2021,43.5,37,57.9,61,69.5,78.9,81.6,82.9,75.7,67.9,51.3,57.1,63.7
2022,40.3,43.9,55.3,62.6,74.3,83.2,87.1,82.9,77.9,63.2,52.2,44.8,64
2023,48.3,51.5,54.9,61.7,72.6,79.4,82.3,82.6,77.7,67,55,49,65.2
2024,37.7,52.4,57,65.1,74.6,80.6,81.8,82.6,75.2,68,58.1,47.7,65.1
2025,37.6,45.7,M,M,M,M,M,M,M,M,M,M,41.7
